page_id,unique_ads
24221cfd3aae16a0cbcaa8aa39195a305cab32ca6915d888314deb66dee1888a,1
372536937235aee4da76df2cbd0282282c157ddcc8ae67171562fe8f76f60ef3,2
4ade50d7b1d0ccb2b832f1e024163cbd1940eff9c73f3582a9927d8cdb366ac1,6
a826449cedaf92e07bdb0d28c6ca9c8cfb9c4ad9d7c34eaf40ad03f34fa53c4c,303
d875031613391309befaa4134268a1ae6991189d71c8524008da8981c98a91b2,7
3bd656d1f631142286f9ed7ca686542d559a1b6c2eb258fe57beb07dd43d6bb1,1
84a1d558e90fcca1792d52fa31907997e8038bcb2fbe49d415d8c2df6d9edb38,16
2b3e57b47730d89eadeb750ece7cd048a9ea6a2e4492a22d930b49d0209e10c6,14
c2d1a68e9234ae4b83a286bd797c916664a57c81dca38d12e4e036e26ddc8e0a,1
173a023c8fb457bc94324c4daf7d1bfa1e0ff0f2cb35bc60d59a753afe2caae8,10
463e49121b2095e0004f1f7f643b074d5c74bd37eea010a9f787ec78d65d874b,12
d52ea0bf0f2a97a49e3305f9c2e42019396f1428f4b0305aeace4003790337d7,142
307f380a3f3b27feb8a8f47c3044d5c0ba05df06ac4ce5d6601f3b1d59d5aac4,26
8824b83eba89b73e482a08a8d89f6ca61e6c8ce733a53b17c03a35bd28ccaeea,10
71aa678855db60aa2ac4ede6b50e69f7c1d86e85c905259130d3ba789a7b9106,32
d5950ba62d6dfa35b54804772591ed45d707ab78d4cc72149bd37d9ad46c17cd,46
0356a106a263b0c73e3d07eebe8c818b76c377b4e1e8a67b17ccec8790227b30,1
e4c775e93ea2f4f087271f3032db06e11fd5c4353553a2b85537dcf69ac73010,10
ef5abe3899852dde8f0f56bdba58928e6a6d0074a4fde2c8b2521197372fe9c1,15
aceccb21716df4409c27d22971f7fb06965dc93b82664d48f2600e8d8175d843,8
f2e440373ffc1f1b093d2cee545171b7ebe5532803a455e4d8f202b3bf4ab90d,6
5e6788585b7485994eacf84d76ac6af509adb0caa46049f04183f32ba98e4295,1
48a1e0c58003c68960020f997ba449702e14bec6cc21c05201f77ee204909162,18
9c5071182115114a3d57f770e6f05ac7e0a5b2c004e20e95154a098370e4d3e2,4
2de805789c5fc3a662fb3859af11cb6017906ac7335bd747d558858c6c378dd3,23
357ff520b2f2bdbaa0f7aedeff4d1cc0df3a157afa18d77d6c8eb76b4612e2b6,1
5438c2225f27200f4929d90930cafd80901d36d2bc5e9bded28c5255734dcb5d,29
b7a0fd115f5409567073792f5c772604172271b49acd2db40de332b328fadb43,2
ed450f10190d7ee49ed8ea14757936325d40ff71af3975603a267fb2e7f8ea24,48
faeaa62b06419eadab7d2d9c5578cd5372b79faf539e3807a2f0e63f21905135,7
1f588434e4ae7c70f16bfe10e70c84b3efb27a697a7e3d7a53edaf5841a3c552,40
a62e8b85a61ba30d34c85958f0370f4ccfe8e0e397d82a18a7a235b8c6f44a7e,130
42c1f5d0b12be65542a467033639c4cb388e5895d1d46aa146bdad33475dfcb5,16
4dd70c61cd741d1bc66beb47708f7e175042c1d8bb6cffeeae1b365b8000efd4,30
4993be9088b2dd964cec26d32d1f49d5d11acd95950a1027258dd51a575a9add,101
9786f267e66936a338450261290253770dca83b4d9ebb6561cf71b7481f6cd53,263
f9290c4be13ad49048c8c4d4e777df16188d484636a2440abd04f254ed4807fc,32
ee5a21fc3679874f082e7b3d7188d1dabb51bf0e9e1720439fafd5f4dc62e7f6,141
f6f71fd3e329586f4707bdc9ee6284d6d5c84254790b485b94fa6a189305f0e6,42
990f12467cbcbddbd1b404591411b3c033d71c92f2d61b83815ed4463ffab8ad,101
53c8c277bdde541a45043288c6c9c276bec5bbe8338bf0518e2f45aab43454d0,9
dc141946470ce301b7afc9cc21d8617ffda6fb52eeccab158f078d11395600e1,965
fee3ad776e8de2c9468819783654360796933048e509d5beda4fdba5121fb7e1,63
7bb6dfad64513835ba8c63ee55e62df6035a69f4c4ff5e1a4fb4ee3bec23be0b,1
7b77600c99603048dc94f429ba7a7cf3817dd9dd646ef725265ee943858a1c95,186
9fadd223ae544b0f50e85457774845a93441b1ac3a806ec6b0635f80977ffe4e,21
fffd9545553ab18ab56d93b9029630f2792d1f294c19bcac33d23db748a88dfc,52
e7f3c24072f2788312a6e416dc17f2e1223805141bc6e2e77aa9f618deadd213,17
6c8d82ec5b0150b4d524eb04182a76294728948ed708b0cb4b29458982978d1f,4
d05e2f18933395a6f528cb17eb36f4ce100825d8442d4ea1b13e36e0534b19d5,63
79c53ea9aa22f1c9c78ed2392ac22964364a34fd389b1af12857178b3dd80f80,1
e6c289306d4ff951fc6af94c7e8bf0a58360730fd44b7855fc8b83a1244a5676,18
dc9dc38bfe664e71da89ba362508cd181930e720ad8c85fbaa935f822d53a1e7,365
aff037e1628af4c52583f1635461bcb00d0bb231b96034f85237055e7ca29339,22
711d464a093b7b57845c48a8428f3ad1b966a0f8dca7536f15023e7010a925f7,121
c4717423609f418c5547cca52e95ae591fe3148828c5e171f325736aa2dba910,8
d16cc174d1e6fbf86425f0dfd279b551377a775ac5ba914a88b2d6aaab54499b,3
b6901a09451f741fe3abf649a7918e06c464094a3f8e13d677e4bbd52cb2a778,4
98033eb4552f048448d776111a30c7f92dc4d4e0a4ba27b89000dfd3a8ff59e1,34
dd1b6d72dc41997ee27d798ac934f6378e33e874a6e36f8b822fdc4f87971c05,3
2f05cec963fb7b26343bf08564301e90b60d27d854e3a8e8f134bedfa107825d,5
4d601ebf7db7c97a356d29337058dea0ae38a2ad20244a7b5b68826a06f6bfa6,4
6e370a81136b3d4ce605afc53c0e61bf347f2ea7b6991116d53d408e5918b925,5
5bab14674df808de69c3aecfe0364edc239e044fa9cef1c4159f56c6f95588c3,66
dc4c0dc7a20e2450fc690c3351bab054ef716f05e7d9a891872b1aecd3205190,19
4cee927bfd3762ece76782b22357313d8e3b071f711ac87b51b0dc79d144cd97,128
9c3a3b0a1a88c72438e324795ba62425f93e0b260682080dc799733356f4ddcf,196
862d4f7ab1b17d2222474252f436d082e44c5990e71024f07474b2f9edc5713c,42
d7097faae7f4d58dbb4cf5f9d4336be30297bd588026953144490c13f3af7a0b,2
3aa3255f169297d503277e8fb1800714c2f7ca287e798fb9b61594b3159ce111,684
1e8475ee578079c564fe9218e0488dd894564c416944f79f3c3fb06326923b2e,42
7df01342462cbdbdcc0d50bfecf07cb978264451944126fc42edc37359da3b79,57
39ffa9b8f4e08f889eb9750af2278bf0af2983d7889afd23ba1e402098fab440,32
f2519b8a489ff70d139d00fef7f9ab44cd8c281ff4e5e4931df6f344c8ac3ae5,26
2b3fb826356bcc8edf3023210b8067d081da9164029db323c3542b05bfa0b853,6
7abf7e0a8b0edb1ee9cd7d84b25decdafb282baaf0e84dd0ab242fadd7e142c1,1
